E-id,Archival_Culture_Name,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,Notes
569,IT URBBAR,4,2,2,4,4,16,1,14,4,0,1,1,
570,IT URBBAR,4,2,2,4,4,16,14,10,4,0,1,1,
571,IT URBBAR,5,1,1,4,4,16,1,14,3,6,1,1,
572,IT URBBAR,3,3,1,5,4,16,14,13,0,6,15,7,
573,IT URBBAR,3,3,1,5,2,16,14,0,4,0,4,3,
574,IT URBBAR,3,2,1,5,4,16,14,4,4,0,4,1,
575,IT URBBAR,3,2,1,5,4,16,14,13,4,0,4,1,
576,IT URBBAR,3,3,1,3,4,16,14,13,4,0,5,1,
577,IT URBBAR,3,2,1,5,4,16,14,13,0,0,11,3,
176,IWALIPETI,1,2,1,5,1,1,0,0,1,1,5,2,
177,IWALIPETI,1,1,1,5,1,1,0,0,1,4,3,1,
195,JAPAN,1,2,5,1,2,1,10,0,0,1,14,4,
196,JAPAN,1,2,2,0,2,1,10,0,3,1,3,3,
197,JAPAN,1,2,2,0,2,13,10,0,2,5,5,2,
198,JAPAN,5,2,2,5,2,10,14,0,4,0,13,7,
199,JAPAN,5,1,2,5,1,14,0,0,4,0,13,8,
200,JAPAN,5,1,2,5,1,14,0,0,4,0,13,8,
201,JAPAN,5,2,2,5,2,10,14,0,4,0,13,7,
202,JAPAN,5,2,2,5,2,10,14,0,4,0,12,6,
203,JAPAN,4,2,2,5,1,14,0,0,4,0,12,6,
204,JAPAN,1,1,2,0,1,13,0,0,2,5,3,2,
205,JAPAN,1,1,2,0,1,13,0,0,2,5,4,3,
206,JAPAN,1,3,1,5,1,1,0,0,1,5,5,1,
207,JAPAN,3,2,0,0,1,0,0,0,4,0,2,1,
208,JAPAN,1,1,3,0,1,1,0,0,1,5,14,2,
210,JAPAN,1,2,1,5,2,12,10,0,0,1,14,3,
211,JAPAN,1,2,1,5,1,12,10,0,0,1,2,2,
212,JAPAN,1,2,1,5,2,12,10,0,0,1,14,3,
213,JAPAN,1,2,2,0,2,12,10,0,2,1,4,3,
214,JAPAN,1,2,2,0,2,12,10,0,2,1,5,4,
215,JAPAN,1,4,0,0,1,1,0,0,0,1,2,2,
216,JAPAN,1,2,2,0,2,1,10,0,1,1,14,4,
2,JAVA,5,0,3,0,0,0,0,0,0,1,4,4,
3,JAVA,5,0,2,0,0,0,0,0,0,1,11,5,
4,JAVA,1,1,1,5,3,13,14,16,2,2,13,6,
5,JAVA,5,0,1,5,0,0,0,0,0,0,16,15,
6,JAVA,2,3,1,5,4,14,12,16,0,0,6,2,
7,JAVA,1,1,1,5,2,15,16,0,4,1,1,1,
8,JAVA,1,2,1,5,0,0,0,0,0,1,2,2,
9,JAVA,1,3,1,5,1,7,0,0,0,1,3,1,
10,JAVA,1,3,1,5,1,12,0,0,0,1,6,2,
11,JAVA,1,2,1,5,1,4,0,0,2,5,10,1,
12,JAVA,1,3,1,5,1,0,0,0,2,2,1,1,
13,JAVA,1,2,0,0,1,16,0,0,2,2,4,3,
14,JAVA,1,3,1,5,1,11,0,0,0,1,13,3,
9008,JAVA,1,3,0,0,1,5,0,0,0,1,3,1,
